authorName,createTime,introduce,playTimes,songSheet,tags
歌单狂魔,2018-05-23,转眼2018年已经过了一半，不少新生代歌手也在上半年发了自己,1691402,2018上半年粤语新歌 Top 50,"粤语,流行"
Emotional,2018-05-22,Tropical&#160;House是Deep&#160;,867991,适合度假听的Tropical House,"电子,英语"
歌单狂魔,2018-05-23,新鲜出炉！精选站内2018上半年播放量最高的50首韩语新歌，,1896741,2018上半年韩语新歌 Top 50,"韩语,流行"
生如夏花,2018-05-21,静静地立在湖边之上，双眸微闭静静地感受着风从耳畔轻轻拂过，古,486969,60首古风纯音鉴赏,"古风,睡前,学习"
夏目杏林,2018-05-14,这是一片神奇的土地，&#160;这是一个神奇的民族。&#16,44194,温暖民谣：夕阳下的以色列,"小语种,民谣"
生如夏花,2018-05-22,压马路是“轧马路”一词的错误写法，但是现在基本都是写的压马路,480689,100首青少年压马路听的J-Pop,"日语,流行"
R3SPAWN,2018-03-20,SPINNIN’&#160;RECORDS（斯宾尼唱片）是荷,158901,SPINNIN:2006-2018作品全收录,"英语,电子,DJ"
SPK.EX™,2018-05-14,Future Bass，是一种特定的电子音乐风格，因其能生动,993881,Future Bass｜梦幻的低音贝斯,"英语,电子,寂寞"
豆沙,2018-05-15,细数现今那些乐坛高人气的女歌手，每个人的成功之路都是一步一个,541921,50位选秀出道华语女歌手,"国语,流行"
喜欢吃钙片,2018-05-24,英国的BBC音乐杂志公布了2018古典音乐大奖的结果，本歌单,96214,2018年BBC古典音乐大奖获奖名单,古典
biG橘子,2018-05-24,独立摇滚（Indie Rock），独立摇滚脱胎于80年代的地,366545,30首欧美独立摇滚鉴赏,"英语,流行,摇滚"
蘑菇,2018-05-07,有看到很多朋友在评论下留言，希望我出一单关于清新女声的。蘑菇,1387833,赶走夏日燥热的清新国语女声,"国语,流行,治愈"
冬不拉唔系西不啦,2018-05-21,土星奖是一个由美国科幻、奇幻及恐怖电影学院（Academy&,116009,历届土星奖最佳科幻电影原声,影视
